id;name;icon;remark
1;Louisiana systems;Triple-buffered cyan Principal;Beauty
2;ivory Intelligent Steel Sausages Keyboard;Cedi User-friendly interfaces;architectures Michigan Bedfordshire
3;compressing Plastic e-business;Configuration Regional deliverables;indexing XML Cook Islands
4;Illinois;empowering;TCP orchid
5;robust;Accountability;Lake Licensed
6;backing up parallelism Baht;world-class hacking Cambridgeshire;Aruba discrete
7;Program embrace;generate Toys;Sleek Plastic Car matrix
8;Diverse;Home;Team-oriented Movies
9;lavender contingency alarm;index synthesizing;Money Market Account National
10;port compressing Keyboard;customized Assistant;Manager input
