id;name;start_time;end_time;inventory;number_of_periods;deposit;credit_exemption;rent_received_number_of_periods;debited_amount;next_bill_day
1;Minnesota Handcrafted Keyboard;2019-09-03T10:22:14;2019-09-03T22:02:42;22848;2753;97745;50545;53191;96401;2019-09-04T06:26:24
2;Small red;2019-09-03T11:29:02;2019-09-04T00:23:14;41415;16002;39543;2335;31320;75621;2019-09-04T06:10:10
3;Bedfordshire Fresh;2019-09-03T13:38:51;2019-09-04T06:54:42;37039;95591;37480;31396;47400;88840;2019-09-03T23:02:24
4;Assistant Western Sahara;2019-09-04T07:34:56;2019-09-04T02:46:38;60687;96113;15158;38948;3093;38551;2019-09-03T10:24:05
5;generate Liaison;2019-09-03T22:13:48;2019-09-03T20:24:36;53225;54170;16833;76190;24690;83364;2019-09-03T13:34:26
6;B2C compressing;2019-09-03T16:40:58;2019-09-04T05:01:41;17717;5764;50744;34244;67738;27024;2019-09-04T04:03:29
7;connecting Guadeloupe Towels;2019-09-03T19:42:27;2019-09-04T06:21:30;99971;44404;15052;62623;81675;48889;2019-09-04T04:43:25
8;mobile circuit;2019-09-04T02:29:14;2019-09-03T18:44:14;32582;56937;79252;62066;46144;20131;2019-09-03T16:09:34
9;Steel RSS;2019-09-03T16:38:16;2019-09-03T20:39:59;90694;22774;13237;96402;59301;90945;2019-09-03T19:19:13
10;back-end Track Rustic Soft Cheese;2019-09-03T20:30:55;2019-09-04T06:42:12;5774;79421;68075;27576;46678;87709;2019-09-04T08:52:19
