id;order_no;request_no;status;receiver;mobile;province;city;region;address;store_name;logistics_company;shipment_number;payment_method;freight;description;processing_opinions
1;index Summit;actuating Shoes TCP;Arrived;back-end;deliverables;Unbranded Ameliorated;Malcolmmouth;Rubber XSS streamline;users modular sensor;Engineer Metal microchip;Kentucky;utilisation Communications;e-business Steel Fish;22531;Cloned quantifying;Macedonia Executive
2;AI;Bahrain wireless Mali;Stocking;initiatives Frozen;overriding Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports;Karliburgh;haptic;cross-platform;Associate neural;pink Synergized;Gibraltar;input Andorra yellow;87783;GB AGP;Division
3;Producer quantify;Bahamas;Closed;interactive target primary;withdrawal navigating;Licensed web services;East Ciaraport;executive;quantify motivating project;reinvent Human;Cape Verde Ridge;back-end methodology;customized Product Chips;50705;Savings Account;Pants
4;alarm hacking help-desk;Personal Loan Account Refined RAM;Returning;Liaison Saint Helena Pound;challenge Agent;systems Keyboard Clothing;Augustamouth;transmitter;blue innovate Officer;SQL programming;Handmade copy;Turnpike quantifying Harbor;Networked transmitting;87982;Chile Realigned;bypassing
5;program;Fresh out-of-the-box;PendingPayment;Home Loan Account bricks-and-clicks;online parsing Proactive;Soft;Bennettborough;UAE Dirham;Colombian Peso Unidad de Valor Real;SMTP;Assistant;analyzing;cross-media XML;21552;sticky;Shoes
6;systems;Interactions SSL transmit;BeExpired;Florida;deploy;Flats AI;Brauliobury;Assistant Sleek;Books mindshare;Principal;Fresh;zero administration Internal synthesize;backing up Strategist Credit Card Account;55918;Auto Loan Account;motivating RSS
7;magenta;Bahrain;BeExpired;Toys;disintermediate generating;contingency;Lake Nasir;Ergonomic Fresh Salad SCSI;matrices visionary Officer;Awesome Streamlined;4th generation interfaces zero tolerance;COM Norfolk Island Gorgeous Fresh Bike;Avon bandwidth;52523;Baby IB Refined Frozen Towels;Buckinghamshire
8;Incredible District;hack Money Market Account;ToBeReturned;South Carolina Pakistan Rupee;Malagasy Ariary;Intelligent;Lake Jedidiah;withdrawal Response Investment Account;Analyst motivating optimize;Adaptive vertical Pines;Corporate;holistic;Highway Manors Savings Account;46974;Gateway Falls;Borders Sports
9;Intelligent Fresh Chair;Gorgeous web-enabled redundant;Completed;Response;bypassing mobile;Granite visionary Borders;Bartellport;Australian Dollar Architect Frozen;Shirt;mindshare metrics;Swedish Krona Phased Guyana Dollar;calculating;Creative driver THX;210;port;Small Rubber Pizza Fiji Dollar Metal
10;online withdrawal;Rubber;HasBoughtOut;Incredible out-of-the-box;bandwidth payment withdrawal;Home Loan Account Beauty deposit;Buckridgestad;GB;deposit reboot Bahrain;Yemen Fresh Clothing;France Meadow;Maryland;Direct;80802;pink Row;deposit navigating Uzbekistan Sum
