id;code;msg;sub_code;sub_msg;body;params_str;amount;auth_no;credit_amount;fund_amount;gmt_trans;operation_id;out_order_no;out_request_no;payer_user_id;pre_auth_type;status
1;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator
2;Cambridgeshire;Borders Internal;open-source Ouguiya;AGP circuit;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;Music copying Reduced;Chair connecting synthesizing;Adaptive black;Money Market Account;New York Concrete expedite;Solomon Islands;Wooden radical Beauty;Facilitator 24/365
3;Sausages bypass;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;Movies Sports;target;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;calculating conglomeration bypassing;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;methodologies
4;e-services;program override red;payment efficient RSS;Vietnam Mouse;SDD;Cheese Summit Saint Martin;Auto Loan Account;4th generation;Principal Savings Account online;Music Savings Account;Ethiopian Birr architectures;Networked;Handcrafted Rubber Gloves;South Carolina;website Curve;Circles;disintermediate Walks Credit Card Account
5;payment;XSS solid state Handmade Granite Fish;Concrete;Planner;Health;Savings Account Rupiah;back up Tactics;Borders;PCI;Sports;24/365;Frozen;magenta Turkish Lira;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account
6;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;Shoes HDD;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer;Borders Intelligent whiteboard;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD
7;redundant withdrawal Planner;National;benchmark;invoice program;synthesize;Investor Tuna;redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;initiatives
8;Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;optical transmitter;Utah COM;Botswana;zero defect;Granite;Program;deposit;Estate;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;invoice
9;Minnesota Open-architected Lebanon;Tugrik Wooden;Plastic;capacitor;feed;Officer;feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating;payment Incredible deposit;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy
10;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account;deploy Advanced;New Mexico;Pakistan Rupee;connect Berkshire;XSS Suriname;Lead cross-platform;enable;Moldova Operative;Investment Account generate;synthesize capacitor Andorra;violet Outdoors deposit
