id;name;remark;day_rent;weekly_rent;monthly_rent;deposit;rental_method;max_rent;inventory;delivery_method;status;lease_must_read;desciption
1;Village;XML Sausages;78627;49696;57458;99215;navigating tan;93059;39717;ExpressDelivery;OnLine;transmitter Soft orange;Incredible utilize Keyboard
2;Future-proofed Metrics North Carolina;generating Granite FTP;92275;60637;48706;13919;Legacy hacking;31753;50256;ExpressDelivery;OffLine;Concrete Associate;parse Cotton
3;task-force Cambridgeshire;attitude-oriented quantifying;33;21603;1768;61958;withdrawal Shirt;6134;56444;PickUp;OnLine;Rustic;data-warehouse Intelligent Saudi Riyal
4;Home Loan Account;Manager open-source;61521;22080;30625;17375;payment navigating;72431;13071;PickUp;OffLine;interface;Supervisor Inverse Granite
5;Jewelery logistical;Belize Dollar sky blue Savings Account;32350;1212;83430;24120;Officer primary;95957;4263;PickUp;OnLine;Shoes;Pizza
6;Re-engineered;Station maximize;39447;85956;45944;39239;Interactions Frozen Licensed;65869;31540;ExpressDelivery;OffLine;withdrawal withdrawal District;Polarised Senior
7;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;74620;71632;65903;7208;Ergonomic Steel Chair Optimization interface;35325;46194;PickUp;OnLine;partnerships;invoice bypass
8;synergies;Sleek;96786;89890;29544;78248;Pre-emptive Coordinator Djibouti Franc;1042;12138;PickUp;OnLine;back-end;Wall
9;Investment Account;Legacy Slovenia;61649;65647;15663;12809;leading-edge;92808;59853;PickUp;OffLine;Sausages content-based;Metal tan TCP
10;Specialist New Taiwan Dollar;SCSI;84651;25843;91892;54401;invoice;22106;46053;PickUp;OffLine;Operations;panel
